Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,30.896238327026367,33.62960397118596,25.53699973003256,27.579346285698307,855215656
1,2007-10-08,29.3145694732666,31.940442088112835,29.130296906938245,31.940442088112835,126671715
2,2007-10-09,31.31083869934082,31.587245396449305,27.748251921124485,29.32991639984341,116725709
3,2007-10-10,31.602617263793945,32.247569316618566,31.326210431319556,32.1247202155724,67931378
4,2007-10-11,35.13448715209961,36.85435761863045,31.326205225508645,36.85435761863045,106320954
5,2007-10-12,34.90414810180664,36.20940632940032,34.0902820400693,34.397401623032515,99410791
6,2007-10-15,35.36482238769531,35.84086017213798,35.05770284892276,35.62587482876705,41814972
7,2007-10-16,38.973472595214844,39.587715769413514,35.16519157486226,35.41088551208183,138614496
8,2007-10-17,42.01396560668945,42.9967456752083,32.585391597224636,35.01163731131196,204876259
9,2007-10-18,40.539794921875,45.899033527560846,38.804570041069134,42.689632089564846,146617799
10,2007-10-19,40.40159606933594,42.044686838048165,38.38996009743683,39.61843855395792,110266491
11,2007-10-22,39.8641242980957,41.1079566807392,38.543507870317065,39.58771756479438,72253405
12,2007-10-23,42.704986572265625,43.08888603056992,40.846910694727455,40.846910694727455,74594921
13,2007-10-24,42.04468536376953,44.07167557906907,41.56864747921385,43.610992008450964,63055170
14,2007-10-25,41.952545166015625,42.93532952042755,37.05398603838048,40.61657411615367,34522489
15,2007-10-26,43.21173858642578,43.90275770032305,41.537935066532995,42.68963358969511,62370025
16,2007-10-29,44.0870246887207,45.14658886147048,43.70312522983683,43.91811059304209,43657697
17,2007-10-30,45.06980895996094,46.282928750426564,43.365292863539196,44.68590950115997,79921711
18,2007-10-31,46.00652313232422,47.02002022843894,45.14658998917461,45.300149776563885,44655368
19,2007-11-01,44.977684020996094,47.496066888958616,44.60914292984494,47.14288011451407,50632492
20,2007-11-02,45.79153823852539,46.067949191152636,42.99674924594843,43.34994009306639,32001693
21,2007-11-05,46.72825241088867,47.75710376325044,45.4844157017078,45.760826636353954,38833135
22,2007-11-06,47.34247970581055,50.33689464847332,46.69752796196826,47.542106535539816,81880281
23,2007-11-07,46.6514778137207,48.8934491751123,45.60727203123114,48.21778857024309,33593141
24,2007-11-08,45.852962493896484,47.096799248009305,44.83946958216819,45.45370872032492,27990521
25,2007-11-12,46.958595275878906,47.787819805112,43.25780185091003,44.4709258537555,35153735
26,2007-11-13,48.07957077026367,49.04699640671284,46.23685368537953,47.757096946638946,43830531
27,2007-11-14,47.449974060058594,49.59981050629381,47.20427596685831,48.924145956961425,36738579
28,2007-11-15,48.24848937988281,49.09306805039598,47.34248513982959,48.34062356861787,29242252
29,2007-11-16,47.910648345947266,49.00092076474798,47.35783081757319,48.033495297061194,18895294
30,2007-11-19,49.645896911621094,51.44254747378581,48.63240385890066,49.000944893718845,40716718
31,2007-11-20,48.87808609008789,50.82829598765868,48.27920132532411,49.446258067965644,26342171
32,2007-11-21,45.06980895996094,49.46161710241373,43.97953199762075,49.16985601307043,26814499
33,2007-11-22,43.51885986328125,46.40578760463045,41.63007504590061,44.5937785261651,34096185
34,2007-11-23,46.40579605102539,46.682202924389514,43.795274657585765,46.37508325052334,27664090
35,2007-11-26,46.77431106567383,48.125636043686825,46.405770161983845,48.125636043686825,20159123
36,2007-11-27,45.622615814208984,47.572825611622775,45.14658222143697,47.572825611622775,20573198
37,2007-11-28,44.94695281982422,46.83574128027682,44.63983328681733,46.62075594094189,16435311
38,2007-11-29,43.73381805419922,46.31362040704637,43.16564628131903,46.06792653175572,25530967
39,2007-11-30,45.42300033569336,45.6994071415563,43.91811513437185,44.532354332101136,18437721
40,2007-12-03,46.06794738769531,46.636119417799065,45.62262235085234,45.97580901856795,16851227
41,2007-12-04,45.46905517578125,46.75895880925342,45.1312228750552,46.37505941424087,14008727
