Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,30.896230697631836,33.62959566682496,25.536993424027145,27.579339475363934,855215656
2007-10-08,29.314565658569336,31.940437931711458,29.130293116220326,31.940437931711458,126671715
2007-10-09,31.310848236083984,31.587255017381196,27.748260372764964,29.329925333231692,116725709
2007-10-10,31.602611541748047,32.2475634777961,31.326204759320543,32.124714398993284,67931378
2007-10-11,35.13447952270508,36.85434961576896,31.326198423076104,36.85434961576896,106320954
2007-10-12,34.904144287109375,36.209402372050526,34.09027831431998,34.397397863717906,99410791
2007-10-15,35.36482238769531,35.84086017213798,35.05770284892276,35.62587482876705,41814972
2007-10-16,38.97348403930664,39.58772739387044,35.16520190069811,35.41089591006275,138614496
2007-10-17,42.01395797729492,42.996737867348905,32.58538567998248,35.011630953483305,204876259
2007-10-18,40.53977584838867,45.89901193261716,38.80455178398526,42.68961200460597,146617799
2007-10-19,40.401588439941406,42.04467889837412,38.389952847917506,39.61843107245403,110266491
2007-10-22,39.86412811279297,41.107960614461874,38.54351155864125,39.587721353041594,72253405
2007-10-23,42.704978942871094,43.088878332590404,40.84690339728464,40.84690339728464,74594921
2007-10-24,42.044677734375,44.07166758185854,41.56863993620077,43.6109840948357,63055170
2007-10-25,41.95253372192383,42.93531780824536,37.053975930549925,40.61656303649686,34522489
2007-10-26,43.211734771728516,43.90275382462318,41.53793139959775,42.68962982108886,62370025
2007-10-29,44.08702850341797,45.146592767848155,43.703129011316605,43.9181143931238,43657697
2007-10-30,45.06980514526367,46.28292483305114,43.36528919311174,44.68590571895585,79921711
2007-10-31,46.00652313232422,47.02002022843894,45.14658998917461,45.300149776563885,44655368
2007-11-01,44.97767639160156,47.49605883238033,44.60913536296465,47.14287211784552,50632492
2007-11-02,45.79153823852539,46.067949191152636,42.99674924594843,43.34994009306639,32001693
2007-11-05,46.7282600402832,47.75711156062714,45.48442312801919,45.760834107795375,38833135
2007-11-06,47.34249496459961,50.3369108723818,46.69754301288519,47.54212185866991,81880281
2007-11-07,46.651466369628906,48.893437181041655,45.60726084329386,48.217776741919,33593141
2007-11-08,45.85296630859375,47.09680316618649,44.8394733125488,45.45371250180661,27990521
2007-11-12,46.95859909057617,47.787823687171596,43.257805364972086,44.4709294663661,35153735
2007-11-13,48.0795783996582,49.047004189621056,46.2368610223668,47.75710452486248,43830531
2007-11-14,47.44999313354492,49.59983044395081,47.20429494158127,48.92416562302126,36738579
2007-11-15,48.24850082397461,49.09307969481396,47.34249636902563,48.340635034563036,29242252
2007-11-16,47.910648345947266,49.00092076474798,47.35783081757319,48.033495297061194,18895294
2007-11-19,49.645896911621094,51.44254747378581,48.63240385890066,49.000944893718845,40716718
2007-11-20,48.87808609008789,50.82829598765868,48.27920132532411,49.446258067965644,26342171
2007-11-21,45.06980514526367,49.461612915994934,43.97952827520425,49.169851851346216,26814499
2007-11-22,43.51885223388672,46.40577946912177,41.630067747633426,44.59377070832403,34096185
2007-11-23,46.4057731628418,46.68217989987701,43.795253056958856,46.375060377487856,27664090
2007-11-26,46.774314880371094,48.125639968591926,46.405773946624606,48.125639968591926,20159123
2007-11-27,45.622615814208984,47.572825611622775,45.14658222143697,47.572825611622775,20573198
2007-11-28,44.94696807861328,46.83575718028008,44.6398484413441,46.62077176796099,16435311
2007-11-29,43.73384094238281,46.313644645374836,43.165668872148764,46.067950641499785,25530967
2007-11-30,45.42298889160156,45.69939562782523,43.91810406942817,44.532343112403034,18437721
2007-12-03,46.06794738769531,46.636119417799065,45.62262235085234,45.97580901856795,16851227
2007-12-04,45.46907043457031,46.758974500916395,45.131238020472395,46.375074977072494,14008727
2007-12-05,47.28104782104492,47.44996601251675,45.45368965101082,45.54582381685072,27725290
2007-12-06,46.4057731628418,49.03164341303903,45.80688842795289,48.30991170230949,24104710
2007-12-07,46.20615768432617,47.357856280710585,45.376937194275314,46.69754991856549,11742386
2007-12-10,46.25221633911133,46.82038415915534,45.65333156618744,46.65147007734367,8330010
2007-12-11,46.03723907470703,46.927885069424846,45.80689937785366,46.6668325798758,11685950
2007-12-12,46.00652313232422,46.42113539139043,45.14658998917461,45.453709563953154,16342131
2007-12-13,45.23871612548828,46.68217953568618,45.06980205572207,46.06794049569985,14620172
2007-12-14,44.793399810791016,45.49977734261516,44.56306012628713,45.08516507739297,10991851
2007-12-17,42.09074401855469,45.30014489540296,41.46114645875328,45.05444676270898,19355678
2007-12-18,41.90647506713867,43.30386743584714,40.601216902635436,41.61470981119589,21607783
2007-12-19,41.138675689697266,43.62634499692779,40.785489023400956,43.25779985305079,19526912
2007-12-20,40.724056243896484,42.013959853825206,40.53978370453881,41.6761275592653,17105204
2007-12-24,41.9679069519043,42.62821328944269,41.000476834532,41.338309243330556,16711519
2007-12-26,43.24243927001953,43.76454412053359,42.198233734566486,42.198233734566486,20930094
2007-12-27,43.549564361572266,44.74732981034145,43.181019223993,44.13309069142642,44565277
2007-12-28,43.88740539550781,44.07167800076541,42.99675516435882,43.45743459471459,18354518
2007-12-31,44.209877014160156,44.470929510799266,43.67241770690513,44.22523549371318,11982308
2008-01-01,45.023746490478516,45.438358820117585,44.025607702550936,44.440220032190005,16687746
2008-01-02,44.77804183959961,45.36156815955238,44.11773563108529,45.02373581676639,13437280
2008-01-03,46.6207389831543,46.80501146904636,43.96415682206265,44.501615809329834,31815218
2008-01-04,46.37506103515625,47.91065866887912,46.06794150841168,47.29641961538997,28011310
2008-01-07,45.99116897583008,47.0507290130649,45.4997768214023,46.08330318234586,15858063
2008-01-08,44.424861907958984,46.68219180637627,43.8874026066966,46.03723981174616,13282666
2008-01-09,43.71846389770508,44.67053504816217,43.610971254567716,44.470908234092356,13113527
2008-01-10,42.674259185791016,45.14657335096303,42.3824940310475,43.91809550458915,18023003
2008-01-11,43.31922912597656,43.733841406797524,41.61471289717395,43.25780354156751,11629440
2008-01-14,43.97953414916992,44.44021352226825,42.704988716713046,43.39600777636055,10264240
2008-01-15,42.6435546875,44.870171216440966,42.2903680711968,44.685902836161105,11558334
2008-01-16,41.76826477050781,42.68962336843481,40.708704882236916,42.33643673901118,14834065
2008-01-17,42.889259338378906,43.84133083237323,41.03118345247894,41.92182936663786,16169395
2008-01-18,40.89297103881836,42.58212820414808,40.53978029906246,42.536056948997576,13254156
2008-01-21,33.93670654296875,40.53977452083432,29.56025242834061,40.53977452083432,33202389
2008-01-22,30.527690887451172,32.24756120729389,24.247094399153138,30.58911438113389,58755707
2008-01-23,33.93670654296875,35.24196416650032,31.019071855074664,31.019071855074664,28425991
2008-01-24,34.01349639892578,36.42438555106599,32.401118860724246,35.76407939234612,29911930
2008-01-25,35.76408004760742,35.93299412656944,34.32061655882629,35.62587458985646,12550722
2008-01-28,36.14797592163086,36.424382644436236,32.401116275147174,35.272684494768086,13601109
2008-01-29,35.549095153808594,36.76221900534758,35.011635957785685,36.240114120123756,7679877
2008-01-30,33.58354187011719,35.77944646769975,33.13821672493378,35.625886647371225,9016102
2008-01-31,31.38762092590332,34.028849468384976,31.01907794115382,33.936713201500744,41538563
2008-02-01,32.47789001464844,32.70822960105624,31.63331153115316,31.9250745907123,9089201
2008-02-04,34.151695251464844,34.55095100559367,33.09213342600602,33.09213342600602,12009385
2008-02-05,35.211265563964844,35.67194491066256,33.47604085785193,34.21312697945313,14593303
2008-02-06,34.904144287109375,35.31875651191166,32.953936398105235,34.24383808901894,12429218
2008-02-07,33.26106262207031,35.61052889610936,33.04607931090816,34.42811756053531,11300078
2008-02-08,32.401119232177734,33.752444351333004,31.802234473464182,33.47603760330186,13514197
