Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2000-01-03,35.5203857421875,36.148896589100204,34.13004356568365,35.76798092430463,53228400
2000-01-04,34.320499420166016,35.69179573440129,34.20622472731308,34.60618615229836,54119000
2000-01-05,34.68238067626953,35.46325800066659,33.33012969987462,33.863411775072606,64059600
2000-01-06,33.520565032958984,34.70140311934731,33.02537486769936,34.18716717850078,54976600
2000-01-07,33.95862579345703,34.20622093384679,32.70160431147825,33.10156569210786,62013600
2000-01-10,34.20622634887695,34.644279358912684,33.939585386246506,34.56809622673256,44963600
2000-01-11,33.33010482788086,34.81567521449497,33.12060131181989,33.977661150251116,46743600
2000-01-12,32.2445068359375,33.17775009344544,31.8254996590972,33.063475408852625,66532400
2000-01-13,32.85398483276367,33.1015800807787,30.930360213569976,31.806466475777007,83144000
2000-01-14,34.20622634887695,34.72046249109281,32.22546491219366,32.66351792222938,73416400
2000-01-18,35.139461517333984,35.50133131073743,34.05385213712367,34.07289791572385,81483600
2000-01-19,32.60636901855469,33.97766491185839,32.30163659782053,33.672932491124236,97568200
2000-01-20,32.30164337158203,33.42534440868306,32.26355181100234,32.62542163650945,56349800
2000-01-21,31.615995407104492,32.68255910758513,31.463629164178688,32.606375986122224,68416200
2000-01-24,30.85416603088379,32.20641651742252,30.720845560379967,31.630281627031017,63597600
2000-01-25,31.33030128479004,31.654079474359296,30.339920940225245,30.777973784936595,59823200
2000-01-26,30.28278350830078,31.539804710532135,30.206600405135244,31.216026522078604,49365000
2000-01-27,30.09233283996582,30.835118270825735,29.63523411328279,30.439918330047703,63654800
2000-01-28,29.939977645874023,30.549442839683163,29.635245048969455,29.901886071260954,58225400
2000-01-31,29.8256893157959,29.920918208885922,28.911491942131654,29.749506201323875,73194200
2000-02-01,31.368392944335938,31.463621823948372,29.768547766847036,30.016142853839366,70196600
2000-02-02,30.720834732055664,31.673123471425026,30.62560585811873,31.216024876527733,49915600
2000-02-03,31.577905654907227,31.74931768801589,30.511341893342205,31.10176111849427,49186000
2000-02-04,32.47305679321289,32.911109758751834,31.735032775185328,31.806454454349286,55365400
2000-02-07,32.49209213256836,32.56827523252749,31.76835268295664,32.549229457537706,40005800
2000-02-08,33.50154113769531,33.52058692572129,32.434977008240544,32.434977008240544,56229000
2000-02-09,31.69217300415039,33.34915560713181,31.654081450058865,33.34915560713181,55090000
2000-02-10,32.30164337158203,32.473055394190666,31.23507967535055,31.658848286799667,54527800
2000-02-11,30.45420265197754,31.95881929331977,30.206607508465527,31.95881929331977,115559000
2000-02-14,30.35896873474121,31.006525156937702,30.187556740630377,30.849397495669436,81028600
2000-02-15,30.03519058227539,30.473243456969325,29.90187014215115,30.3970603483269,71027600
2000-02-16,29.74950408935547,30.530380957257883,29.597137871228167,30.244694298269195,65202600
2000-02-17,30.35896873474121,30.378014511864638,29.601899094085024,30.016144746519544,80343400
2000-02-18,28.968618392944336,30.492280109864485,28.91148107855983,30.473234338402982,79063000
2000-02-22,28.587722778320312,29.59714936542956,28.282990223721296,28.987684256231525,66296200
2000-02-23,28.721027374267578,29.17812595316839,28.054425280037233,28.492478084817176,75847200
2000-02-24,28.873395919799805,29.216219881908245,28.035381790201395,28.721029714418275,69733200
2000-02-25,27.82588768005371,28.85912136016522,27.578292512469385,28.85435991463475,65301400
2000-02-28,27.902082443237305,28.073494553810093,26.854563989736928,27.5021208519008,76131800
2000-02-29,27.23546028137207,27.959199785352585,27.08309407000775,27.959199785352585,58437400
2000-03-01,27.673521041870117,28.673424589494466,27.102147586084772,27.311651186539397,106889800
2000-03-02,28.454391479492188,29.063856357232314,27.76874349203454,27.97824704375771,106932600
2000-03-03,29.292407989501953,30.130422262283542,28.606759948135196,28.873400853111157,101435200
2000-03-06,27.61638069152832,29.6733249085525,27.464014453230234,29.254317753232762,93609400
2000-03-07,28.30202865600586,29.711416354891746,28.016341960285743,29.292409201168915,135061000
2000-03-08,29.12099266052246,29.311450428086378,27.73065095730589,28.587710911343503,94290000
2000-03-09,30.473247528076172,30.47324752807617,28.949585151672363,29.044814050197598,88198800
2000-03-10,30.77798080444336,31.235079529261828,30.320882079624894,30.339927859825664,85589000
2000-03-13,29.86379051208496,30.54943876363793,29.711424233962077,29.7495158034928,61831800
2000-03-14,28.9876766204834,30.244698077087804,28.987676620483402,30.05424028063259,73489200
2000-03-15,29.063858032226562,29.444773602766887,28.54962201199713,28.816262911375354,53208000
2000-03-16,29.063858032226562,29.463819381293902,28.416301562308018,29.23527003896971,77300800
2000-03-17,30.28278350830078,30.32087505988355,28.79721299657282,29.025762306069428,81161600
2000-03-20,29.673324584960938,30.397064208984375,29.40668367084704,30.09233173571135,47773000
2000-03-21,31.311260223388672,31.42553489573681,29.406682350919777,29.482865465818534,81648800
2000-03-22,31.463621139526367,32.18736060883751,30.81606477224798,31.330300710969055,93975800
2000-03-23,34.09194564819336,34.39667812326101,32.4921001540882,32.54923749316338,148224000
2000-03-24,34.034812927246094,35.04423938787511,33.387256329861444,34.32049966138638,112196800
2000-03-27,31.711233139038086,32.987300778867244,31.673141567699904,32.83969593993179,111434000
2000-03-28,31.787395477294922,32.7396841374895,31.196976507974288,31.577891972052118,81114400
2000-03-29,32.66352462768555,33.19680666242327,32.035013658173234,32.05405944512815,64363800
2000-03-30,31.501720428466797,33.10156596413258,31.235079505855833,32.35878053685918,64178400
2000-03-31,32.377830505371094,32.987295550178075,31.73027389526367,32.30164737477022,64281400
2000-04-03,27.692569732666016,29.406690280080007,27.42592875862384,28.778179412694875,260118200
2000-04-04,26.987857818603516,28.03537523569822,25.883203087849104,27.902054837158893,181244400
2000-04-05,26.321264266967773,26.968820696111695,26.16889804834567,26.892637586800646,82887600
2000-04-06,26.206974029541016,26.816438541855923,25.983186278925388,26.778347009836242,66421400
2000-04-07,27.140226364135742,27.235455228571308,25.902251126473413,26.51171585886102,82613600
2000-04-10,26.22602653503418,27.00690314210491,26.206980764130012,27.00690314210491,60685400
2000-04-11,25.55942726135254,26.226029313623286,25.445152623820412,25.940342719792966,71961800
2000-04-12,24.188135147094727,25.06424082958792,23.99767739003099,25.026149278175176,153003800
2000-04-13,24.150041580200195,25.064238737810296,24.073858483732685,24.645231707239,94316200
2000-04-14,22.588293075561523,24.22623001021438,22.321652179222685,24.11195534035488,151217800
2000-04-17,23.121570587158203,23.159662136725185,22.24546494711761,22.626380442787436,119772200
2000-04-18,24.550006866455078,24.96901396580497,23.121573573216807,23.312031345648574,91794600
2000-04-19,23.978626251220703,24.835685966315964,23.80721430820165,24.816640194869404,53715400
2000-04-20,24.054819107055664,24.340505794787916,23.616766185866208,23.959590211144913,52387400
2000-04-24,20.302804946899414,20.721812178448932,19.80761458234089,20.493262779421922,313645800
2000-04-25,21.140806198120117,21.178897740819433,20.6075246003297,20.95034848462354,159517400
2000-04-26,20.721818923950195,21.6741083965582,20.53136102942859,21.331284186419317,107091200
2000-04-27,21.274139404296875,21.312230969926773,20.531353874513904,20.550399657328853,77669800
2000-04-28,21.255084991455078,21.636000493094055,20.7979863894883,21.55981739276626,78082600
